id,id_internal,employees,founding_year,indegree,outdegree,innoprob,sustainability_intensity,ai_intensity,3d_printing_intensity,lats,lons
1272,0,2.0,1994.0,0,0,0.094225615,0.0,0.0,0.0,48.37582198925876,10.311494916514395
1273,0,,2005.0,0,0,0.35547996,0.0,0.0,0.0,48.877655889788464,9.36490904150386
1274,0,40.0,2012.0,3,2,0.5024682,0.2843265859796698,0.0,0.1522346378942442,48.63871166137684,8.88530123936334
1275,0,12.0,1998.0,3,0,0.1526986,0.0,0.0,0.0,48.90402716315176,10.3759892601067
1276,0,1.0,2007.0,0,0,0.18980283,0.0,0.0,0.0,47.86676400374255,10.323452359482031
1277,0,,1925.0,2,0,0.1350644,0.0,0.0,0.0,48.01093288823181,9.079730938881497
1278,0,1.0,1997.0,0,1,0.3978371,0.0,0.0,0.0,48.01492404436994,9.446589579672859
1279,0,1.0,1825.0,0,0,0.20420298,0.0,0.0,0.0,49.20772426684074,10.21456101458094
1280,0,8.0,1989.0,1,2,0.11914024,0.0,0.0,0.0,49.536068590806174,7.708706491478708
1281,0,480.0,2002.0,0,0,,,,,47.69522312946177,8.040074297814094
1282,0,,,0,0,0.38096654,0.0,0.0,0.0,48.820924900115365,8.756817109761316
1283,0,8.0,2005.0,0,0,,,,,48.619029034267406,7.975297377363107
1284,0,2.0,2010.0,0,0,,,,,47.8975850681207,9.989086644585916
1285,0,81.0,2009.0,5,11,0.15239072,0.4009577316764439,0.0,0.0,49.05554800299409,9.166227074151408
1286,0,1.0,2012.0,0,0,0.28098243,0.0,0.0,0.0,47.639287388456985,8.038274400248893
1287,0,2.0,2013.0,0,0,0.13381976,0.0,0.0,0.0,47.53695535084832,9.656871217428751
1288,0,4.0,2011.0,6,2,0.1566279,0.0,0.0,0.0,47.68809170178192,8.182460378128914
1289,0,1.0,2002.0,0,0,0.1136491,0.0,0.0,0.0,49.41524941482137,9.710975337773334
1290,0,,,0,0,0.27449113,0.0,0.0,0.0,49.05052953658399,7.984926740297129
1291,0,50.0,1959.0,0,4,0.49443766,0.15305697799668,0.0,0.0,49.21811961595383,10.075763942702832
1292,0,1.0,2017.0,0,0,0.66236997,0.0,0.0,0.0,47.73460587715733,9.380416195527882
1293,0,,,0,0,,,,,48.6308470193007,8.778471514340454
1294,0,2.0,1998.0,0,0,0.11366385,0.0,0.0,0.0,49.54108892179622,10.36858451045374
1295,0,11.0,2012.0,0,0,0.1381259,0.0,0.0,0.0,47.520109483185415,7.557079136385927
1296,0,8.0,2011.0,0,0,0.21642795,0.0,0.0,0.0,49.73930860842041,10.471479257101903
1297,0,19.0,1972.0,1,0,0.24659446,0.0,0.0,0.0,48.87017264489375,9.597473632590326
1298,0,14.0,1979.0,2,0,0.10443893,0.0,0.0,0.0,49.942235728816215,9.157752947270934
1299,0,,,0,0,0.15141785,0.0,0.0,0.0,47.624968525027185,9.588979422536504
1300,0,1.0,1986.0,0,0,0.26545912,0.0,0.0,0.0,48.44918293093315,8.638096848120297
1301,0,43.0,2017.0,1,0,0.45479172,0.0876478470645937,0.0,0.0,49.05097659193318,9.26197440339101
1302,0,,2012.0,0,0,0.43293393,0.0,0.0,0.0,49.30620348613701,7.8167839160147885
1303,0,1.0,1996.0,0,0,,,,,49.05097629090748,9.818135679632281
1304,0,9.0,2015.0,0,0,0.30553377,0.085678571718191,0.0,0.0,47.98629808992561,10.171309379865992
1305,0,11.0,2015.0,2,0,0.08193272,0.0,0.0,0.0,49.24130136716359,10.101269579780668
1306,0,2.0,1994.0,0,2,0.18322223,0.0,0.0,0.0,48.389670609077235,8.663726486841213
1307,0,2.0,2004.0,0,1,0.28688788,0.0,0.0,0.0,49.61085213981692,9.434661147627162
1308,0,16.0,1955.0,0,1,0.26964787,0.0,0.0,0.0,49.5341995028375,10.048465788365785
1309,0,,,1,1,0.33618093,0.0,0.0,0.0,49.1305394177726,8.061780152291313
1310,0,,,0,0,,,,,48.24295927555708,9.859806595866704
1311,0,2.0,1993.0,1,0,0.094001085,0.0,0.0,0.0,48.273819126309455,9.984724351953096
1312,0,2.0,1991.0,0,4,0.14522973,0.0,0.0,0.0,49.83732137953435,8.567130067975295
1313,0,,,0,0,0.45255497,0.2218561582960461,0.0,0.0,49.71855313612071,9.135152920262863
1314,0,5.0,2005.0,0,0,0.25004113,0.0,0.0,0.0,47.58908084679596,8.353186532544566
1315,0,55.0,1997.0,1,0,0.07925993,0.0,0.0,0.0,47.68202941877905,9.396453153269139
1316,0,186.0,1999.0,5,3,0.5614267,0.0,0.0,0.0,48.40413476365404,9.34561109315744
1317,0,,,0,1,0.35709494,0.0,0.0,0.0,48.02819847260485,9.409532892281643
1318,0,1.0,2013.0,0,2,0.17438123,0.0,0.0,0.0,47.66761831231079,9.746706050264399
1319,0,4.0,2020.0,0,0,0.11411056,0.0,0.0,0.0,48.471686879662904,8.14397255661576
1320,0,,,0,1,0.12887281,0.0,0.0,0.0,49.83991880452034,9.305015609452258
1321,0,10.0,,3,0,0.7261041,0.084566992846023,0.084566992846023,0.0,48.29273240144344,8.47263235659265
1322,0,1.0,2020.0,0,0,0.7183478,0.0,0.9374124665257042,0.0,47.732106363777184,7.9494523439009885
1323,0,23.0,1984.0,2,2,0.58337283,0.0,0.0,0.0,49.72862524733462,7.559297487370824
1324,0,4.0,1987.0,0,0,0.23775911,0.0,0.0,0.0,49.92894597206032,8.295925349649748
1325,0,,,4,6,0.653798,1.0266804685347617,0.0,0.0,48.00251935410007,9.769048800483281
1326,0,,,0,0,,,,,48.04791008673577,9.69559532068755
1327,0,13.0,1983.0,0,1,0.118349224,0.0,0.0,0.0,48.045584765373704,7.641893988959501
1328,0,10.0,2016.0,0,0,0.553926,0.0,0.0,0.0,47.522298833168556,9.384128263689139
1329,0,100.0,2009.0,1,1,0.8588245,0.5131764533179175,0.6088067730332831,0.0,49.69586074156815,8.259197121166798
1330,0,32.0,2013.0,0,0,0.63029695,0.0793108210955537,0.0,0.0,48.94370975607606,8.204027336502639
1331,0,17.0,1949.0,1,2,0.3890275,1.504033126180954,0.0,0.0,49.20071441550554,7.6242760070146725
1332,0,,,0,4,0.48154345,0.0,0.0,0.0,48.47151031235426,9.515270753883497
1333,0,,,0,0,0.2990641,0.0,0.0,0.0,47.86535004712632,9.524166917803225
1334,0,,,0,2,0.10177931,0.0,0.0,0.0,48.9652729247156,9.684464718208698
1335,0,11.0,2015.0,0,0,,,,,48.47032260051088,8.44306630287204
1336,0,6.0,2020.0,0,0,0.16530252,0.0950033740523973,0.0,0.0,49.864134448325636,7.768323029849018
1337,0,5.0,1997.0,0,0,,,,,49.26005867397174,10.430896501950647
1338,0,,,0,0,0.26065415,0.0,0.0,0.0,47.64159552060907,9.375377830013614
1339,0,41.0,2013.0,1,0,0.2659124,0.0,0.0,0.0,48.12588407079877,9.636263067313731
1340,0,100.0,1993.0,0,0,0.30340877,0.0,0.0,0.0,48.705827246339716,9.11670168700629
1341,0,10.0,1970.0,0,0,0.20324492,0.0,0.0,0.0,48.83491035011767,8.467952205401273
1342,0,3.0,2017.0,2,4,0.6294919,0.0805017183208822,0.0,0.0,48.390983309498,10.177135770262229
1343,0,1.0,2011.0,0,0,,,,,47.72572098604957,10.391520146054134
1344,0,10.0,1994.0,0,0,0.59405416,0.0,0.0,0.0,48.91269151114474,9.237448079634214
1345,0,1.0,2007.0,0,0,0.6840645,0.0,0.0,0.0,48.98562487013864,9.90248246214779
1346,0,,,1,2,0.21486327,0.0,0.0,0.0,47.638627356263534,7.838662535435926
1347,0,,,2,1,0.06129399,0.0857960200885815,0.0,0.0,49.2054625510787,7.622049626764589
1348,0,45.0,2007.0,0,0,0.6777414,0.0,0.0,0.0,48.88000176148309,8.678105811538344
1349,0,,,0,0,0.6450239,0.0,0.0,0.0,47.828506112210306,9.316124475191923
1350,0,28.0,,0,0,0.657246,0.2587098578274571,0.0,0.0,48.02691798500031,9.952584389405164
1351,0,,2004.0,0,0,,,,,49.653565342727155,9.918094893054327
1352,0,4.0,1969.0,5,4,0.37828773,0.4101894310911205,0.0,0.0,47.56754675251858,7.9927142197467695
1353,0,9.0,2006.0,2,2,0.28062093,1.0020564938900274,0.0,0.0,49.47055639338766,10.030218537599826
1354,0,,,0,0,,,,,48.94371449279519,10.039371002722403
1355,0,,,0,0,0.1819916,0.0,0.0,0.0,49.27952828824833,9.84271479396523
1356,0,1.0,2016.0,0,0,0.5239415,0.0,0.0,0.0,49.98004044469923,8.727694959960179
1357,0,1.0,2014.0,0,0,,,,,47.87654893296949,10.11069891320465
