ordering,reachability,predecessor_,core_distances
6304,1.356124274564284,2745,1.92122077292486
6782,0.734263023314213,3748,1.000685244743326
6412,1.466787742619049,3511,2.261160272630095
253,0.695711866941181,3339,0.790246629616258
6257,1.483963999371071,4262,2.444600654734091
959,0.20143585617221,1373,0.401272888891951
1855,1.194806395070544,723,1.332262548372214
2946,0.357233434662018,1327,0.687776051153226
3149,1.286724550130501,3192,1.694949140666838
4725,2.449959465876018,4221,4.020783443899279
5578,1.109553255578209,4251,1.132541821108534
6941,1.082853552028459,4866,1.684662588104855
7055,1.908895197086526,4258,2.730727110554621
1108,0.423183550073252,1274,0.68580149778628
2564,1.366260544783094,1725,2.029283432838396
2552,0.857964053248912,513,1.43975077922945
4384,2.112114933720416,5646,3.148410153203146
5252,0.107855403460062,6212,0.214497855643529
5403,1.29568674392993,6167,1.862652529718498
6455,1.156197719912439,3401,1.938836796726208
6920,0.0,13,0.0
518,0.543067075125511,718,0.924742801213412
5063,1.086855780717672,3790,1.613420599209329
5180,1.109550927937904,6013,1.117423463370788
6049,1.51267957536786,5710,2.453583592841796
206,0.498036689999861,4570,0.690119222706754
5532,0.698042634007672,3943,1.06269974884245
6685,1.910941519446412,5573,3.253284923259897
914,0.687648452370208,806,0.975682261887404
951,0.33574968108129,2154,0.481089533814077
6199,0.705806635216718,3805,0.979161530027995
505,1.307722687801226,5481,1.935324431187851
1096,0.486528352785151,2051,0.708319462416841
601,1.267415873299088,7084,1.591261208863075
2662,1.195108116336478,815,1.452808390397856
5675,1.589486502390649,1464,2.4851991701944
4367,0.722434921139518,1688,1.081004340176558
5314,0.689734816228881,654,1.053944339844397
3022,0.681989335777603,3337,0.842969854625077
3217,0.0,13,0.0
5382,0.72881127497461,587,0.949555033175881
6641,0.0,13,0.0
2387,1.202803632976202,3966,1.847529048183654
6648,0.681989335777603,391,0.802658975008776
6914,0.862323701721555,1955,1.328256438329989
841,2.35541849282711,5650,3.905933760588794
3197,1.320953376285484,704,1.73794606737814
4378,0.0,13,0.0
4171,1.011456563221293,3825,1.552035675682209
6980,0.591570803509708,4760,0.920016001259073
6989,0.4594325980536,1873,0.848072869932939
2170,0.0,13,0.0
1702,0.89113751844552,1380,1.357493423076734
4284,1.11409568620952,1682,1.346354352762649
3623,0.0,13,0.0
6894,1.556320908749052,1791,2.431846244429472
1958,0.433010865515306,584,0.673756861322032
866,1.68617936206609,214,2.581513790996344
1352,1.233384599563721,7125,1.864686414300662
3009,3.980062086147656,6395,6.234442754028165
4838,1.042108181271352,3751,1.45770456612044
3305,0.316350364659101,6721,0.564200109926533
2342,0.71946965427472,1813,1.264897366512879
5460,0.377633239123866,1670,0.694418195009242
556,1.311352171590369,2366,1.846701686637472
582,2.254987987818511,6283,3.789544774896046
989,1.122828980016096,6658,1.367396551410205
2050,2.625608745649548,4867,4.254808002755026
5866,0.462640644794914,2051,0.733272222078198
2365,0.875951518440656,1911,1.287858981607672
