x,y
-33.064774,-13.336942
-36.88554,6.8914647
29.724401,-4.0190187
-16.972366,14.494766
-17.305923,-14.658061
-37.003616,7.870709
-17.305994,-8.505622
24.061007,-3.2523818
-35.914608,-14.410376
-0.8187562,-9.828434
17.175615,-17.959099
25.93431,-15.858096
-0.6615603,-9.583862
-8.254634,-6.2896094
10.003755,29.145332
29.352375,2.4845736
-3.5582144,24.851782
-37.172016,8.094152
-18.735676,-21.957413
-5.610707,-8.645835
7.8060713,16.799616
-13.249582,13.999545
-7.7160378,-25.63579
31.024792,-5.630237
-37.030853,7.927613
-19.50233,-7.9844327
18.471073,-11.903606
32.182796,20.100588
11.965421,30.062748
27.772882,-18.77713
-17.59737,-12.206515
-40.47242,-5.791276
6.9635916,5.52224
-36.74255,7.466223
20.06229,13.049767
-17.674177,-23.901323
1.1983695,-24.51349
21.272882,-10.135894
9.523028,4.326899
-37.061398,-14.211761
-3.0322397,-14.492729
-0.48755655,10.052934
30.018774,-0.22862671
-4.7012563,12.859376
-8.343945,-28.717928
7.051852,16.483442
-32.516586,-11.094379
30.447044,-2.3928473
-9.4666395,-7.02757
-11.361543,-29.953045
15.688512,-11.128909
30.67686,21.79701
-1.5351869,7.5750937
-35.974987,-11.062226
-18.69744,-23.46605
-10.469214,13.780261
-39.24383,8.840993
0.92259324,-23.62383
14.649427,9.87631
3.4041345,4.9362035
-17.672348,14.381169
-38.114094,-12.301672
11.256876,29.388803
-18.068377,-22.83065
-4.8330936,12.203133
-39.21197,8.83973
-39.21998,8.831041
-18.758806,-23.977049
1.2328346,-8.545551
32.817493,1.9633296
-38.851448,8.959232
21.954908,-11.089638
12.975653,-15.928834
26.947859,9.133354
28.019094,12.919039
-8.363947,13.42771
-18.919146,-13.068872
-38.86999,8.941262
-37.103634,-16.467243
31.73251,-3.9676592
24.93944,-14.391806
-4.909707,13.355563
14.113173,-18.724277
19.384342,-12.584465
17.406796,19.960905
-0.6989822,-8.969096
-3.7249532,26.713102
-20.27441,14.8604
30.240055,-11.931224
12.632064,21.652195
-37.174107,-14.165414
-22.352055,14.438126
12.83603,21.254349
18.591103,16.752943
27.151548,21.527119
29.296928,6.806203
-5.373048,-19.815453
-3.4622724,27.168566
-21.66839,14.549624
